,ISO_A3
1225,PAK
1226,USA
1227,USA
1228,AUS
1229,GBR
1230,USA
1231,GBR
1232,USA
1233,USA
1234,USA
1235,USA
1236,USA
1237,NZL
1238,JAM
1239,RUS
1240,AUS
1241,USA
1242,USA
1243,FIN
1244,GRC
1245,ITA
1246,FIN
1247,PAK
1248,IND
1249,AZE
1250,SWE
1251,SWE
1252,FRA
1253,RUS
1254,DNK
1255,SWE
1256,SWE
1257,GBR
1258,SWE
1259,ITA
1260,RUS
1261,ETH
1262,SWE
1263,ROU
1264,RUS
1265,RUS
1266,RUS
1267,RUS
1268,RUS
1269,RUS
1270,RUS
1271,RUS
1272,RUS
1273,RUS
1274,RUS
1275,BLR
1276,RUS
1277,GBR
1278,SWE
1279,CAN
1280,GBR
1281,GBR
1282,DNK
1283,AZE
1284,POL
1285,TUR
1286,TUR
1287,RUS
1288,UZB
1289,CZE
1290,PAK
1291,PAK
1292,PAK
1293,TUR
1294,SYR
1295,GBR
1296,GBR
1297,USA
1298,ZAF
1299,ZAF
1300,ISL
1301,TUR
1302,CAN
1303,ITA
1304,ITA
1305,GBR
1306,FRA
1307,GBR
1308,USA
1309,USA
1310,USA
1311,ITA
1312,CAN
1313,CAN
1314,CAN
1315,CAN
1316,NGA
1317,DEU
1318,USA
1319,DEU
1320,DEU
1321,DEU
1322,DEU
1323,CHE
1324,DEU
1325,DEU
1326,DEU
1327,FRA
1328,FRA
1329,NOR
1330,NOR
1331,NOR
1332,USA
1333,CZE
1334,CZE
1335,FRA
1336,HTI
1337,USA
1338,USA
1339,USA
1340,DEU
1341,RUS
1342,NOR
1343,CAN
1344,FRA
1345,FRA
1346,RUS
1347,NOR
1348,NOR
1349,NOR
1350,NOR
1351,NOR
1352,ITA
1353,ITA
1354,SWE
1355,USA
1356,USA
1357,USA
1358,USA
1359,NOR
1360,BEL
1361,RUS
1362,ARG
1363,RUS
1364,RUS
1365,RUS
1366,RUS
1367,RUS
1368,AUS
1369,RUS
1370,RUS
1371,MEX
1372,TUR
1373,ITA
1374,RUS
1375,FRA
1376,JPN
1377,MYS
1378,NGA
1379,USA
1380,DNK
1381,SWE
